date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:14	209489/209489	---M-Z	200	added ('OK')	text/html	etag:%2233251-66adf063-1c8d6f5dfd99edd;gz%22	https://html.themewant.com/news5/main/page-faq.html	D:/Excel/new2/html.themewant.com/news5/main/page-faq.html	(from https://html.themewant.com/news5/main/index.html)
16:53:15	209716/209716	---M-Z	200	added ('OK')	text/html	etag:%2233334-66adf063-acd385e3928d8ae7;gz%22	https://html.themewant.com/news5/main/page-terms.html	D:/Excel/new2/html.themewant.com/news5/main/page-terms.html	(from https://html.themewant.com/news5/main/index.html)
16:53:16	210774/210774	---M-Z	200	added ('OK')	text/html	etag:%2233756-66adf063-9bcdfde9ba3cc60b;gz%22	https://html.themewant.com/news5/main/page-privacy.html	D:/Excel/new2/html.themewant.com/news5/main/page-privacy.html	(from https://html.themewant.com/news5/main/index.html)
16:53:17	255283/255283	---M-Z	200	added ('OK')	text/html	etag:%223e533-66adf063-cbaf03831d10b16c;gz%22	https://html.themewant.com/news5/main/shop.html	D:/Excel/new2/html.themewant.com/news5/main/shop.html	(from https://html.themewant.com/news5/main/index.html)
16:53:17	252560/252560	---M-Z	200	added ('OK')	text/html	etag:%223da90-66adf063-81ca38e3f248b2a2;gz%22	https://html.themewant.com/news5/main/shop-3.html	D:/Excel/new2/html.themewant.com/news5/main/shop-3.html	(from https://html.themewant.com/news5/main/index.html)
16:53:18	255425/255425	---M-Z	200	added ('OK')	text/html	etag:%223e5c1-66adf063-579c34c9a0e76c1b;gz%22	https://html.themewant.com/news5/main/shop-2.html	D:/Excel/new2/html.themewant.com/news5/main/shop-2.html	(from https://html.themewant.com/news5/main/index.html)
16:53:19	302501/302501	---M-Z	200	added ('OK')	text/html	etag:%2249da5-66adf063-b502fe0d06604ccc;gz%22	https://html.themewant.com/news5/main/shop-sidebar.html	D:/Excel/new2/html.themewant.com/news5/main/shop-sidebar.html	(from https://html.themewant.com/news5/main/index.html)
16:53:20	244393/244393	---M-Z	200	added ('OK')	text/html	etag:%223baa9-66adf063-7dfa6940cfe10538;gz%22	https://html.themewant.com/news5/main/shop-category.html	D:/Excel/new2/html.themewant.com/news5/main/shop-category.html	(from https://html.themewant.com/news5/main/index.html)
16:53:21	266576/266576	---M-Z	200	added ('OK')	text/html	etag:%2241150-66adf063-476fbae8a3a0bd60;gz%22	https://html.themewant.com/news5/main/shop-product-detail.html	D:/Excel/new2/html.themewant.com/news5/main/shop-product-detail.html	(from https://html.themewant.com/news5/main/index.html)
16:53:22	253272/253272	---M-Z	200	added ('OK')	text/html	etag:%223dd58-66adf063-38f84d59c47d19f9;gz%22	https://html.themewant.com/news5/main/shop-product-detail-2.html	D:/Excel/new2/html.themewant.com/news5/main/shop-product-detail-2.html	(from https://html.themewant.com/news5/main/index.html)
16:53:23	228137/228137	---M-Z	200	added ('OK')	text/html	etag:%2237b29-66adf063-4d859842bc5f855;gz%22	https://html.themewant.com/news5/main/shop-cart.html	D:/Excel/new2/html.themewant.com/news5/main/shop-cart.html	(from https://html.themewant.com/news5/main/index.html)
